round_epochs,loss,auc,val_loss,val_auc,activation,first_neuron,first_dropout,second_neuron,second_dropout,batch_size
10,0.052981410175561905,0.9633229970932007,0.2532508969306946,0.7342172265052795,relu,511,0.3,50,0.3,64
10,0.04295622184872627,0.9771129488945007,0.2821934223175049,0.6828388571739197,relu,511,0.3,50,0.3,128
10,0.05028873309493065,0.9769045114517212,0.34960851073265076,0.6981560587882996,relu,511,0.3,50,0.5,64
10,0.0472189299762249,0.976661205291748,0.3428093492984772,0.6924052834510803,relu,511,0.3,50,0.5,128
10,0.05504678562283516,0.9580490589141846,0.2444518655538559,0.6830124258995056,relu,511,0.3,100,0.3,64
10,0.0504164919257164,0.964978814125061,0.22725093364715576,0.6988453269004822,relu,511,0.3,100,0.3,128
10,0.05406608060002327,0.9564162492752075,0.28611645102500916,0.6947693824768066,relu,511,0.3,100,0.5,64
10,0.057415734976530075,0.9496949911117554,0.2702901065349579,0.6468416452407837,relu,511,0.3,100,0.5,128
10,0.04757796600461006,0.9683071970939636,0.22809740900993347,0.7178046107292175,relu,511,0.3,511,0.3,64
10,0.04156752675771713,0.9668402671813965,0.24916806817054749,0.7328299283981323,relu,511,0.3,511,0.3,128
10,0.06191803142428398,0.9458741545677185,0.23142343759536743,0.7214559316635132,relu,511,0.3,511,0.5,64
10,0.05150295048952103,0.963270366191864,0.20349785685539246,0.6993062496185303,relu,511,0.3,511,0.5,128
10,0.060429997742176056,0.9562607407569885,0.2684972286224365,0.7009813189506531,relu,511,0.5,50,0.3,64
10,0.061866890639066696,0.9593985676765442,0.21815569698810577,0.7518758177757263,relu,511,0.5,50,0.3,128
10,0.07442431151866913,0.9462363719940186,0.2530139982700348,0.7179142832756042,relu,511,0.5,50,0.5,64
10,0.11532055586576462,0.9181150197982788,0.18339505791664124,0.7903468608856201,relu,511,0.5,50,0.5,128
10,0.05641084536910057,0.9631409645080566,0.2284410148859024,0.6603787541389465,relu,511,0.5,100,0.3,64
10,0.05441439524292946,0.9649430513381958,0.26177969574928284,0.7028936743736267,relu,511,0.5,100,0.3,128
10,0.062069278210401535,0.9521124362945557,0.24511556327342987,0.664924681186676,relu,511,0.5,100,0.5,64
10,0.055075664073228836,0.96248459815979,0.20551244914531708,0.7553354501724243,relu,511,0.5,100,0.5,128
10,0.052701435983181,0.9693514704704285,0.22134627401828766,0.6791054010391235,relu,511,0.5,511,0.3,64
10,0.05689293146133423,0.9524798393249512,0.1948656141757965,0.6669420599937439,relu,511,0.5,511,0.3,128
10,0.058750998228788376,0.9629999399185181,0.20114149153232574,0.6685303449630737,relu,511,0.5,511,0.5,64
10,0.07216576486825943,0.9358736276626587,0.1603846400976181,0.7636147141456604,relu,511,0.5,511,0.5,128
